id,fecha,ciudad,tipo_crimen,descripcion,testigo1,testigo2
, 3 de enero de 2023, Angularville, Robo a mano armada, Un individuo armado irrumpio en una joyeria y amenazo al personal con una pistola. Robo varias joyas valiosas y huyo en una motocicleta.,Yeny Garcia,Alberto Diaz
, 12 de febrero de 2023, Reactburg, Homicidio, Se encontro el cuerpo de un hombre apuñalado en un callejon. La victima presentaba multiples heridas de arma blanca.,Liliana Garcia,Maria Soledad Piquer
, 5 de marzo de 2023, Vuefield, Secuestro, Una joven fue secuestrada mientras caminaba a casa despues de la escuela. Se exigio un rescate a la familia para su liberacion., No hay testigos presenciales,-
, 20 de abril de 2023, Emberstadt, Fraude financiero, Un empresario influyente fue acusado de realizar operaciones financieras fraudulentas para enriquecerse ilicitamente. Se sospecha de un esquema de lavado de dinero., Varios empleados de la empresa,-
, 8 de mayo de 2023, Laravelia, Incendio intencional, Un edificio residencial fue incendiado deliberadamente durante la noche. Varias familias fueron evacuadas y se investiga si fue un acto intencional., Roberto Sanchez,Laura Martinez
, 17 de junio de 2022, Pythonton, Asalto a mano armada, Dos individuos ingresaron a un banco y amenazaron al personal y a los clientes con armas de fuego. Robaron dinero en efectivo y huyeron en un automovil., Carlos Mendez,Sofia Ramirez
, 2 de julio de 2022, Rubytown, Trafico de drogas, La policia intercepto un camion que transportaba una gran cantidad de drogas ilegales. Se realizo un arresto y se decomisaron los estupefacientes., Agentes de la policia,-
, 14 de agosto de 2022, Djangoville, Violencia domestica, Se reporto un caso de violencia domestica en una residencia. Una mujer resulto herida por su pareja durante una discusion., Vecinos que escucharon el altercado,-
, 6 de septiembre de 2022, Svelteburg, Robo agravado, Un grupo de delincuentes ingreso a un museo y sustrajo varias obras de arte valiosas. Utilizaron explosivos para abrir las vitrinas de exhibicion., No hay testigos presenciales,-
, 25 de octubre de 2022, Codeigniter City, Estafa en linea, Un individuo estafo a varias personas a traves de un sofisticado esquema de phishing en linea. Utilizo identidades falsas y tarjetas de credito robadas., Victimas que reportaron el fraude,-
, 9 de noviembre de 2022, Nodeburg, Homicidio, Un cuerpo sin vida fue encontrado en el interior de un vehiculo estacionado en un callejon. La victima presentaba heridas de bala en el pecho y en la cabeza.,Santiago Andrade,Chiara Vigilante
, 18 de diciembre de 2022,JavaScriptville, Homicidio," En un lujoso apartamento, se descubrio el cadaver de un hombre joven estrangulado. El lugar estaba desordenado, lo que indica un posible forcejeo antes del asesinato.", No hay testigos presenciales,-
,27 de marzo de 2023,Boostrap, Homicidio,"Segun los testimonios de los testigos presentes en el lugar, se escucharon ruidos fuertes provenientes de la seccion de misterio cerca de las 13:15 p.m. Al acudir al lugar, se encontro el cuerpo de la victima, una mujer de _ tendida en el suelo. ",Nacyla Messaoud,Juan Antonio Garcia
